0012AC60,pl00_DiscardWeapon
0012AC98,func_0012AC98
0012AFE8,func_0012AFE8
0012B2E0,func_0012B2E0
0012B328,func_0012B328
0012B5C0,func_0012B5C0
0012B618,func_0012B618
0012B928,func_0012B928
0012B9F0,pl00_DiscardThrowObj
0012BAB8,pl00_CkSubScreen
0012BB38,func_0012BB38
0012BBE0,Tramp_func_0014EFA8_0012BBE0
0012BC00,func_0012BC00
0012BF50,pl00_ckAtkActBtnEnable
0012BFB8,func_0012BFB8
0012C000,func_0012C000
0012C0D8,Obj0000_Set_Bytes_2F4_2F5_2F6_2F7_12C0D8
0012C348,func_0012C348
0012C418,pl00_reset
0012C4F0,func_0012C4F0
0012C530,Obj0000_IsSet_Field_15F4_Bit_1000_12C530
0012C540,func_0012C540
0012C748,Obj0000_Get_Field_5FC_NE_Zero_12C748
0012C758,IsSpecialConditionMet_12C758
0012C7D0,func_0012C7D0
0012C8D8,pl00_setPaper
0012CA48,Obj0000_IsSet_Field_15F4_Bit_100000_12CA48
0012CAE0,func_0012CAE0
0012CC00,ClearLinkedTarget_12CC00
0012CC70,func_0012CC70
0012CD70,InitObjStateFlags_12CD70
0012CD90,pl00_setIgnition
0012CDD0,pl00_setPyramidIn
0012CDF0,StoreVec3Field_12CDF0
0012CE20,SetVecAndAction_12CE20
0012CE60,SetPositionMulti_12CE60
0012CED8,Obj0000_IsSet_Field_15F4_Bit_1000000_12CED8
0012CEF0,Obj0000_Get_Byte_15F4_Bit7_12CEF0
0012CF08,GetOrInit_785518_12CF08
0012D178,SetField5CAndForward_12D178
0012D1A8,func_0012D1A8
0012DC88,SetField5CAndForwardAlt_12DC88
0012DCB8,func_0012DCB8
0012E640,SetField198AndForward_12E640
0012E670,func_0012E670
0012E800,InitZeroAndSetup_12E800
0012E840,func_0012E840
0012EAD8,func_0012EAD8
0012EC58,func_0012EC58
0012ECF0,ClearLinkedNodeList_12ECF0
0012ED60,func_0012ED60
0012F288,func_0012F288
0012F4C8,func_0012F4C8
0012F750,func_0012F750
0012FC20,func_0012FC20
00130700,func_00130700
001311A0,func_001311A0
00131E10,ChkLine
001321D8,func_001321D8
001325A0,func_001325A0
001329C0,func_001329C0
00132DA0,ChkCollScrWall
001332D0,cCollisionScroll_SetCollEnable
00133330,cCollisionScroll_SetLayerCollEnable
001333B8,Obj0000_Get_Field_20_Plus_A1_Shifted3_1333B8
001334A8,func_001334A8
001337A0,GetOrInit_460D00_1337A0
001337E0,InitVtableField5C_1337E0
00133810,func_00133810
00133888,func_00133888
00133900,GetOrInitSingleton_133900
00133968,Forward133670_133968
001339C0,InitVtableField30_1339C0
001339F0,func_001339F0
00133A80,InitVtableField30Alt_133A80
00133AA8,func_00133AA8
00133B28,Forward15F2A8_133B28
00133B58,InitObjVtableField30_133B58
00133B80,SetField_8_133B80
00133B98,NoOp_133B98
00133BA0,InitVtableField30Ptr_133BA0
00133BC8,func_00133BC8
00133DA0,func_00133DA0
00134270,GetOrInit_D460D10_134270
00134330,func_00134330
001343A8,func_001343A8
00134458,func_00134458
001344A0,func_001344A0
00134520,func_00134520
00134608,SetNodeListFlag_134608
00134648,Obj0000_Set_Field_8_134648
001346F8,cCollisionSolidManage_CreateUnit
001347E8,cCollisionSolidManage_ReleaseUnit
00134880,cCollisionSolidManage_CreateSphere
001348E8,cCollisionSolidManage_ChkHit
00134CB0,func_00134CB0
00134E18,func_00134E18
00135040,func_00135040
001351D8,Forward_001346C8_00134608_1351D8
00135210,cCollisionSolidManage_SetPriority
001352F0,NoOp_1352F0
001352F8,func_001352F8
00135328,Forward1352F8_135328
00135348,func_00135348
00135B18,SphereTriangle
00135D50,SphereSquare
00136030,func_00136030
001361A0,func_001361A0
00136458,func_00136458
001365B8,func_001365B8
00136640,func_00136640
00136A88,func_00136A88
00137670,func_00137670
001377E8,func_001377E8
00137AA0,InitStructDefaults_137AA0
00137AE8,LoadAcdBlock_137AE8
00137BB8,func_00137BB8
00137CB8,func_00137CB8
00137E70,func_00137E70
00137F38,func_00137F38
001380A8,func_001380A8
00138210,ForwardVtableCall_138210
00138238,cCamera_setMode
00138240,cCamera_reset
00138358,cCamera__calcRotation
00138470,cCamera_getScreenPos
00138528,cCamera_resetVib
00138558,func_00138558
00138600,cCamera_move
00138648,func_00138648
00138740,cCamera_update
00138B78,GetOrInitSingletonB_138B78
00138BB8,NoOp_138BB8
00138C70,func_00138C70
00138D40,cCamManager_setPlCamera
00138DB8,cCamManager_setMotCamera
00138E38,cCamManager_setPartsCamera
00138EB8,cCamManager_setSubScrCamera
00138F40,AddToActiveList_138F40
00138F88,Obj0000_Get_Field_1028_Masked_138F88
00138F98,func_00138F98
00138FC8,func_00138FC8
00139010,func_00139010
00139040,Forward139010_139040
00139060,func_00139060
00139090,func_00139090
001390B8,cMotCamera_setMotion
00139180,func_00139180
00139878,InitObjVtableField35C_139878
001398D0,InitObjectFields364_1398D0
001399A0,func_001399A0
00139B68,Obj0000_Set_Fields_360_364_368_139B68
00139B78,func_00139B78
00139BC8,func_00139BC8
00139C58,SetField35CAndForward_139C58
00139C88,func_00139C88
00139DB8,cPlCamera_SetNormalZoomOutMode
00139FA8,func_00139FA8
00139FF8,func_00139FF8
0013B388,func_0013B388
0013B450,func_0013B450
0013B5F0,func_0013B5F0
0013B9B8,cPlCamera_setCamUpdate
0013BBD8,func_0013BBD8
0013BC28,func_0013BC28
0013BCC0,func_0013BCC0
0013BD40,func_0013BD40
0013C168,ForwardIfField94FlagSet_13C168
0013C198,SetField80DCC8AndForward_13C198
0013C1C8,func_0013C1C8
0013C298,func_0013C298
0013C318,func_0013C318
0013C508,Tramp_func_002AAC28_0013C508
0013C528,InitVtableAndForwardField_13C528
0013C558,func_0013C558
0013C5C8,Obj0000_Clear_Fields_50_To_7C_13C5C8
0013C618,ClearBytesAt74And79To7C_13C618
0013C630,func_0013C630
0013C750,NoOp_13C750
0013C758,GetOrInitSingletonC_13C758
0013C798,InitVtableAndForwardField2_13C798
0013C808,Obj0000_Clear_Fields_94_9C_13C808
0013C818,cCockBossBar_roomInit
0013C930,ResetBlendFields_13C930
0013C950,func_0013C950
0013CF20,func_0013CF20
0013CFB0,SetField80AndForward_13CFB0
0013CFE0,func_0013CFE0
0013D0B8,InitFiveSubstructs2ABA78_13D0B8
0013D100,InitFiveSubstructs2AABA0_13D100
0013D148,NoOp_13D148
0013D150,SetField80AndForwardAlt_13D150
0013D180,func_0013D180
0013D1D0,InitFieldsAt90_13D1D0
0013D1E8,InitFieldsAt90_13D1E8
0013D288,func_0013D288
0013D338,SetVtable80AndForwardNeg20_13D338
0013D368,func_0013D368
0013D3C0,SetupFields10And14_13D3C0
0013D400,func_0013D400
0013D540,func_0013D540
0013D698,func_0013D698
0013D7B0,func_0013D7B0
0013DA98,func_0013DA98
0013DAE0,func_0013DAE0
0013DB50,func_0013DB50
0013DE90,func_0013DE90
0013DF20,func_0013DF20
0013DF70,func_0013DF70
0013E010,func_0013E010
0013E0B0,func_0013E0B0
0013E260,func_0013E260
0013E2F8,cCockGetPoint_setData
0013E300,SetVtable80AndMaybeForwardNeg20_13E300
0013E330,func_0013E330
0013E380,func_0013E380
0013E3F8,SetField_104_13E3F8
0013E400,ClearField90_13E400
0013E418,cCockItem_LoadTicket
0013E4F0,func_0013E4F0
0013E6E0,func_0013E6E0
0013E750,InitVtable80ConditionalForward_13E750
0013E780,func_0013E780
0013E7D8,ClearFields94And9C_13E7D8
0013E7E8,cCockLastBossBar_roomInit
0013E908,func_0013E908
0013E970,func_0013E970
0013EBA0,func_0013EBA0
0013EC50,SetField80VtableAndForward_13EC50
0013EC80,func_0013EC80
0013ED28,func_0013ED28
0013EE58,func_0013EE58
0013F070,Forward2AAC28_13F070
0013F090,SetVtable80WithConditionalForward_13F090
0013F0C0,func_0013F0C0
0013F150,func_0013F150
0013F1C0,UpdateLinkedFieldsAndMove_13F1C0
0013F208,ForwardIdBaseTransIfValid_13F208
0013F238,SetAnimSlotIfFree_13F238
0013F270,SetField80AddrAndForward_13F270
0013F2A0,func_0013F2A0
0013F2F8,ClearFields_A0_250_358_13F2F8
0013F330,cCockMiddleBoss_roomInit
0013F510,ResetAnimSlotArray_13F510
0013F5D0,func_0013F5D0
00140638,func_00140638
00140718,func_00140718
00140860,func_00140860
00140B58,SetField80AddrAndForwardAlt_140B58
00140B88,func_00140B88
00140C58,FindFreeSlotIndex_140C58
00140C88,func_00140C88
00140DE0,func_00140DE0
00140E58,func_00140E58
001410A8,func_001410A8
001415E0,NoOp_1415E0
00141620,NoOp_141620
00141628,func_00141628
00141678,func_00141678
00141AC8,ForwardIfSentinel_141AC8
00141AF8,Forward141AC8_141AF8
00141B18,func_00141B18
00141CE8,func_00141CE8
00142060,func_00142060
001430E8,func_001430E8
001434A8,cCockPlBar_initData
001434D0,InitPtrField80AndForward_1434D0
00143500,func_00143500
00143598,func_00143598
00143670,func_00143670
00143998,func_00143998
00143A90,func_00143A90
00143AF0,InitPtrField80AndForward_143AF0
00143B20,func_00143B20
00143B70,func_00143B70
00143BE8,func_00143BE8
00143D20,func_00143D20
00144368,func_00144368
00144AD0,InitPtrField80AndForward_144AD0
00144B00,func_00144B00
00144B50,func_00144B50
00144C08,func_00144C08
00144C90,func_00144C90
00144FD8,func_00144FD8
001450A0,func_001450A0
00145100,func_00145100
00145160,SetFlagAfterCopy_145160
001451A0,func_001451A0
001451E0,GetNextAnimIndex_1451E0
00145238,func_00145238
00145410,func_00145410
00145460,func_00145460
00145810,func_00145810
00146328,func_00146328
00146748,InitPtrField80AndForward_146748
00146778,func_00146778
00146878,func_00146878
001468B0,func_001468B0
00146978,cCockScroll_OnScroll
00146A18,func_00146A18
00146E20,ForwardTransBySubState_146E20
00146E70,InitPtrField80AndForward_146E70
00146EA0,func_00146EA0
00146EF0,func_00146EF0
00146F18,func_00146F18
00146F70,UpdateField78_FromField90_146F70
00146F90,NoOp_146F90
00146F98,InitPtrField80AndForward_146F98
